日期,均溫,低溫,最高溫,相對溼度,降雨量,風速,氣壓,雲量
2025/1/1,12.6,9.1,19.8,60,0,16.6,1020.8,5
2025/1/2,13.2,8.3,19.9,63,0,16.4,1021.3,4
2025/1/3,12.4,8.3,19.9,65,0,26.7,1024,4
2025/1/4,13.6,8.3,18.6,64,0,25.2,1023.5,6
2025/1/5,12.8,11,20.6,66,0,9.5,1020.5,6
2025/1/6,12.9,7.9,20.6,73,0,14,1022,4
2025/1/7,11.4,7.7,19.3,58,0,23.2,1023.5,6
2025/1/8,12.2,6.9,18.3,63,0,13.8,1022.8,6
2025/1/9,11.1,8.2,18.3,59,0,26.9,1026.3,8
2025/1/10,8.1,3.7,16,45,0,31.6,1032.2,6
2025/1/11,7.3,5,14.9,48,0,15.6,1031.5,4
2025/1/12,9.9,3.6,17,55,0,9.2,1028,3
2025/1/13,11.9,4.8,18.2,52,0,14.7,1026.6,4
2025/1/14,13.9,6.8,22,61,0,12.5,1023.8,4
2025/1/15,11.6,9,22,68,0,22.2,1027.2,6
2025/1/16,8.8,5.4,17.7,57,0,22.5,1028.4,4
2025/1/17,9.4,4.3,15.5,57,0,18.2,1026.5,3
2025/1/18,11.9,5.7,17.2,58,0,14.2,1021.9,5
2025/1/19,12.5,7.1,20.7,67,0,9.2,1017.7,4
2025/1/20,12.8,6.9,20.8,51,0,13.2,1018,3
2025/1/21,14.4,7.1,20.8,52,0,18.7,1020.2,4
2025/1/22,14.5,8,19.5,71,0,9.3,1019.6,7
2025/1/23,16,11.6,22.7,76,0,10.8,1018.2,5
2025/1/24,15.5,12.6,22.7,73,0,23.5,1017.9,7
2025/1/25,14.6,13,19.3,69,0,30.4,1019.5,8
2025/1/26,11.4,7.7,18.9,72,0.3,18.4,1021.1,8
2025/1/27,9.5,5.4,16,53,0,12.5,1023.6,4
2025/1/28,9.7,5.3,17.1,58,0,12.2,1027.1,5
2025/1/29,10.9,5.6,17.1,64,0,16.1,1027.6,5
2025/1/30,13.9,6.8,19.5,63,0,17.8,1023.6,6
2025/1/31,15.8,9.7,24,73,0,10.9,1017.5,7
2025/2/1,14.2,10.9,24,86,3,16,1014.9,7
2025/2/2,11.3,10,23.5,76,3.8,24,1017.5,8
2025/2/3,8.7,6.3,14.2,81,3.8,26.7,1022.8,8
2025/2/4,8.7,4.6,15.4,61,0,15.1,1025,5
2025/2/5,11.9,4,17,63,0,13,1022.2,5
2025/2/6,9.6,8,17,67,4.8,13.2,1021.6,8
2025/2/7,9.3,8,12.8,78,3.3,20.5,1025.4,8
2025/2/8,5.7,2.6,10.1,58,0,31.5,1029.6,6
2025/2/9,7.5,2.3,13.6,53,0,23.8,1028.4,4
2025/2/10,10.1,3.7,14.6,63,0,16.8,1025.7,7
2025/2/11,13.6,5.4,17.8,72,0,10.5,1021.7,7
2025/2/12,14.3,11,21.7,86,1,11.4,1018.5,8
2025/2/13,9.6,7.3,21.7,74,0,30.2,1024.6,8
2025/2/14,12.4,7.3,15.7,64,0,11.9,1020.8,6
2025/2/15,15,9.3,23.2,78,0,5.6,1015.7,7
2025/2/16,13.7,12,23.2,84,0,14.9,1019.3,7
2025/2/17,12.8,11,20.2,63,0,24.2,1024.1,6
2025/2/18,10.6,9.6,19.2,67,0,27.9,1026.2,8
2025/2/19,10.2,9,12.3,70,0,17.8,1025.9,8
2025/2/20,9.1,8,11.1,92,2.5,16.8,1025.6,8
2025/2/21,9.6,8.8,11,82,1.8,25.4,1027.9,8
2025/2/22,9.5,8,11,77,7.2,21.9,1028,8
2025/2/23,8.9,7.9,10.9,82,0,24.6,1030.8,8
2025/2/24,9.2,6.1,14.5,59,0,31.2,1033.4,7
2025/2/25,12.2,5.9,16.2,65,0,11.4,1028,7
2025/2/26,12,7.4,16.2,72,0,16.6,1025.3,8
2025/2/27,13.1,11,19.7,84,2.8,7.4,1019.7,6
2025/2/28,15.9,11.3,26.2,88,0,6.4,1017.8,5
2025/3/1,18.2,11,28.2,85,0,7.8,1015.2,7
2025/3/2,20.9,16.1,28.2,89,0.3,9.5,1011.8,7
2025/3/3,17.9,13,30.5,82,8.1,13.2,1010.4,7
2025/3/4,12.8,11,14,94,14.7,17.5,1013.4,8
2025/3/5,10.4,10,18.3,87,30,27.8,1018.8,8
2025/3/6,10.5,9,12.7,77,0,28.7,1024.2,8
2025/3/7,9.7,8.7,12.2,70,1.8,23,1024.7,8
2025/3/8,11.5,8.8,17,69,0,14.8,1024,7
2025/3/9,13.6,9.3,20.1,61,0,17.4,1025.3,7
2025/3/10,15.6,13,23.2,62,0,8,1021.9,6
2025/3/11,16.2,12.7,27,86,0,7.5,1017.5,6
2025/3/12,18.8,14.6,29.8,83,0,7.8,1013.9,7
2025/3/13,15.5,14.7,29.8,89,0.5,7.1,1016,8
2025/3/14,14.2,14.2,24.8,92,26.2,4.8,1018.3,8
2025/3/15,13.3,13.6,18.2,98,7.1,5.1,1014.6,8
2025/3/16,12.6,11.4,18.2,78,0,9.5,1020.2,7
2025/3/17,10.2,9.6,16.9,56,0,10,1023.6,6
2025/3/18,13.3,8.5,20.8,47,0,9.2,1024.1,5
2025/3/19,12.7,9.3,20.8,44,0,9,1028.1,4
2025/3/20,13.3,8.9,21.7,49,0,8.6,1027.5,4
2025/3/21,15.9,8.6,24.5,54,0,7.3,1024.6,4
2025/3/22,16.8,9.7,27.2,57,0,9.1,1020.5,3
2025/3/23,18.6,12.5,29.3,65,0,8.9,1016.3,3
2025/3/24,20.7,14.9,31.8,64,0,13.1,1011,4
2025/3/25,21.5,15,32.2,76,0,14.9,1007,4
2025/3/26,23.4,19.3,32.2,70,0,16.1,1004.9,4
2025/3/27,23.1,20,32,75,0,21.5,1004.4,4
2025/3/28,14.7,13,22,73,0,31,1017,8
2025/3/29,9.4,7.2,15.5,76,27.7,30.2,1024,8
2025/3/30,7.4,6.6,10.7,88,21.3,26.1,1026.3,8
2025/3/31,8.3,7,10,88,7.7,15.5,1023.2,8
2025/4/1,11.9,7.2,17.2,72,0,15.6,1020.7,7
2025/4/2,14.2,8.5,21.7,66,0,11.2,1021,4
2025/4/3,16.6,10.3,25.5,56,0,12.7,1020.6,4
2025/4/4,17.9,11.6,25.5,61,1,15.1,1019,7
2025/4/5,16.3,14,24,83,1.3,6.7,1016.2,8
2025/4/6,18.9,13.8,26.8,78,0,9.4,1016.8,6
2025/4/7,20.6,13.8,27.5,64,0,14.7,1018.4,5
2025/4/8,20.7,16.8,28.7,68,0,6.5,1016.5,7
2025/4/9,21.2,18.1,28.7,80,12.4,8.7,1012.1,8
2025/4/10,20.3,18,28.6,86,17.8,7,1009.2,7
2025/4/11,23.2,18.2,28.7,85,0,7.8,1009.5,7
2025/4/12,20.5,14.5,28.7,79,2.8,20.8,1006.5,8
2025/4/13,17.9,13.6,25.8,46,0,13.8,1014.2,6
2025/4/14,21.3,13.1,30.1,58,0,13.5,1009.5,4
2025/4/15,20.5,15.9,30.1,61,0,5.7,1013.6,4
2025/4/16,22.3,15.6,30.1,69,0,3,1012.1,7
2025/4/17,24.3,18.8,30.9,72,0,3.1,1009.2,6
2025/4/18,24.2,21,30.9,81,0,2.8,1009.3,6
2025/4/19,22.9,21,30.6,90,41.1,3.1,1008.4,4
2025/4/20,23.6,21,28.3,84,0.8,2.2,1011.2,6
2025/4/21,23.4,20,28.3,87,0,2.1,1011.7,4
2025/4/22,24.7,21,33.6,85,4.3,12.5,1007.2,5
2025/4/23,19.2,17.9,33.6,89,0.3,16.4,1010.4,5
2025/4/24,17.5,17,22.6,94,21.8,11.7,1011.4,4
2025/4/25,15.9,14.7,18.9,90,23.6,21.9,1016.2,4
2025/4/26,16,14.7,17.7,87,3.3,13.6,1018.7,4
2025/4/27,20.3,14.9,26.1,82,1.5,7.5,1014,6
2025/4/28,21.6,16.9,27.3,82,0,6.7,1012.7,5
2025/4/29,20.7,16.8,27.3,73,0,12.6,1015.5,6
2025/4/30,22.9,16.7,29.2,73,0.5,7.1,1013.6,7
2025/5/1,22.3,19.7,29.2,84,1.5,6.5,1011.4,6
2025/5/2,23.7,19.6,29.9,82,0,12.8,1012.7,5
2025/5/3,24.9,19.4,34.1,72,0,12,1009.7,7
2025/5/4,20.2,18.2,34.1,75,1.8,23.6,1012.5,6
2025/5/5,25.4,18.2,30.7,78,0,13.8,1007.2,7
2025/5/6,25.4,20.5,32.9,77,1.8,10.3,1008,6
2025/5/7,22.8,22,32.9,80,0,14,1011.6,6
2025/5/8,24.6,21.4,28.5,84,0,11.6,1009.6,5
2025/5/9,25.4,21.9,31.9,84,12.7,18.1,1007,4
2025/5/10,24.1,17.7,31.9,82,4.3,11.5,1010,6
2025/5/11,19.1,17.3,30.9,87,0.5,9.5,1011.8,5
2025/5/12,22.2,16.8,28.6,73,0,11.5,1012.8,5
2025/5/13,23.4,16.7,30,73,0,13.2,1013.7,5
2025/5/14,24.9,19.9,32.4,77,0,9.7,1013.4,4
2025/5/15,25.9,21.5,32.6,78,0,7.6,1013,6
2025/5/16,27.8,23.9,33.2,82,0,12.3,1010.7,4
2025/5/17,27.1,25,35.4,79,1.3,13.2,1009.8,6
2025/5/18,24.6,21,35.4,88,53.1,11.2,1010.1,6
2025/5/19,25,21.9,31.1,91,0.8,5.5,1009,5
2025/5/20,26.9,23.1,31.8,89,2,12,1008.5,6
2025/5/21,27.2,24.1,34.3,83,13.5,16.8,1007.7,6
2025/5/22,25.9,24.1,34.3,87,15.5,7.5,1006.9,6
2025/5/23,26.7,24,31.1,91,1.3,13.5,1004.5,5
2025/5/24,22.2,19.7,29.8,84,11.4,16.1,1010.3,5
2025/5/25,20.9,17.4,24.6,72,0.5,16.3,1016.1,4
2025/5/26,20.3,16.8,24.6,72,1.3,9.3,1017,5
2025/5/27,23.1,16.8,27,73,0,17,1016.1,4
2025/5/28,19.9,18.7,27,91,40.1,12.5,1012.9,4
2025/5/29,19.7,19,21,91,9,9.5,1012.3,4
2025/5/30,22.6,17,28.7,72,0,16.1,1013,4
2025/5/31,24.4,17,29.2,69,0,10.9,1009.9,6
2025/6/1,27.4,20.5,32.5,76,0,11.9,1003.5,5
2025/6/2,27.9,25.2,36.3,82,18,17.4,1000,7
2025/6/3,22.5,21.5,36.3,92,21.8,18,1004.8,5
2025/6/4,24.2,21.5,26.9,80,0,16.2,1009.9,6
2025/6/5,24.8,21.9,30.7,72,0,16.5,1010.8,6
2025/6/6,26.8,22.1,32.6,81,0,7.9,1008.4,5
2025/6/7,28.9,25.2,35.1,83,0,14.4,1006.2,4
2025/6/8,28.7,24.3,35.1,79,18.5,17.8,1004.5,6
2025/6/9,28.8,24.3,35.8,78,0,13.1,1004.4,4
2025/6/10,29.3,25.5,36.4,80,0,11.2,1005.4,4
2025/6/11,27.1,25,36.4,82,0.3,27.3,1007,6
2025/6/12,28.2,25.7,33.1,85,4.1,30.1,1007.2,4
2025/6/13,27.9,24.8,33.1,86,44.7,17.5,1005.2,3
2025/6/14,27.5,24.8,32.7,88,0.5,18.7,1007.5,4
2025/6/15,28.7,26,31.6,82,2,27.9,1004.5,6
2025/6/16,28.5,25.3,31.8,83,0.3,14.2,1005.9,4
2025/6/17,27.3,25,31.8,82,0.5,11.7,1009.5,6
2025/6/18,28.6,25.2,34.8,78,0,14.5,1010.2,7
2025/6/19,28.8,26,34.8,80,0,14.8,1010.7,5
2025/6/20,29.4,26,35.2,79,0,17.3,1009.6,5
2025/6/21,30,26,36.3,79,0,19.5,1008.1,4
2025/6/22,29.3,26,36.8,80,0.5,15.4,1006.8,5
2025/6/23,29.1,26.5,36.8,81,6.1,15.6,1005,6
2025/6/24,29.5,27,36.3,83,0,15.4,1006.2,6
2025/6/25,29.6,26,36.3,76,0,12.3,1008.8,5
2025/6/26,30.3,26.6,37.1,79,0,12,1009.5,4
2025/6/27,30.4,26.4,38.2,75,0,15.6,1007.8,4
2025/6/28,29.7,26.3,38.2,77,0,10.7,1007,4
2025/6/29,30,26.7,36.7,77,0,9.8,1006.3,3
2025/6/30,30,26.7,35.6,79,0,17.2,1007.4,3
2025/7/1,30.3,26.7,35.8,80,0,23,1009.6,4
2025/7/2,30,26.7,35.8,77,0,21,1010.3,4
2025/7/3,29.8,26.9,35.6,76,0,22,1008.8,3
2025/7/4,29.9,26.6,35.6,78,0,23.8,1006.6,4
2025/7/5,30,27.5,34.9,79,0,17.7,1005.1,4
2025/7/6,29.3,26.3,34.9,77,0,28.2,1003,4
2025/7/7,29.3,26.3,36.9,76,14.5,15.1,999.7,5
2025/7/8,29.9,25.5,37.7,79,4.3,11.8,998.5,4
2025/7/9,25.8,24.1,37.7,92,51.8,12.8,998.6,3
2025/7/10,27.6,25,30,87,41.8,19.7,1000.2,4
2025/7/11,25.7,24.2,29.3,94,62,11.4,1003.2,4
2025/7/12,27.5,25,31,89,19,10,1006,4
2025/7/13,27.8,24.7,34.2,85,6.1,12.9,1005,4
2025/7/14,29.2,24.7,34.4,84,0,12.1,1002.8,6
2025/7/15,30.4,26.4,38.2,80,0,16,1001.4,5
2025/7/16,30.4,26.6,38.2,83,0,17.3,1002.3,4
2025/7/17,29.3,25.9,36.8,86,32.5,9.6,1003,4
2025/7/18,29.4,25.9,35.8,86,0.5,22,1001.3,4
2025/7/19,28.9,26.8,33.5,83,3.3,41.3,998.6,6
2025/7/20,27.9,24.9,31.6,86,60.2,31,1000.3,6
2025/7/21,25.6,24.6,29.5,95,85.9,12,1004.3,4
2025/7/22,27.9,26,30,89,18.3,21.4,1006.2,5
2025/7/23,28.8,25.7,31.9,86,1.8,31.5,1005.2,4
2025/7/24,29.4,26.6,32.9,82,1,31.2,1002.9,4
2025/7/25,30.2,28,35.1,68,1,12.7,997.7,4
2025/7/26,27.3,26,35.1,90,49.3,10.9,996.8,4
2025/7/27,28,27,31,89,35,8.3,998,4
2025/7/28,28.6,27,35.1,85,13.2,9.3,996.3,4
2025/7/29,29.2,25.8,35.1,80,11.2,11.8,994.8,3
2025/7/30,30.9,25.9,36.9,80,4.6,16.2,993.6,5
2025/7/31,30,27.9,36.9,85,0,15.9,996.2,6
2025/8/1,28.6,25.7,36.7,87,68.8,12,999.4,3
2025/8/2,29.4,25.7,35.1,84,13.7,18.2,1001.4,3
2025/8/3,29.7,25.9,35.1,79,0,19.7,1002.1,3
2025/8/4,28.7,25.8,34.9,80,0.8,21.8,1004,4
2025/8/5,28.2,25.8,33.6,84,1.5,18.1,1006.1,5
2025/8/6,29.5,26.7,33.9,79,0,18.5,1007.9,4
2025/8/7,30,26.7,36.6,80,0,17.8,1008,4
2025/8/8,30.7,27.7,38,82,0,15.6,1007.1,5
2025/8/9,30.9,28,38,72,0,18.7,1006.5,6
2025/8/10,30.7,27,37.7,73,0,18.5,1006.3,5
2025/8/11,30.3,27,37.7,75,0,17.9,1005.4,5
2025/8/12,30.1,28,36.7,81,0,13.5,1007.1,5
2025/8/13,29.5,26.3,35.9,81,1.5,34.8,1007.2,4
2025/8/14,29.3,26.3,33.1,78,2.3,17.2,1010.5,4
2025/8/15,29.6,27,33.9,82,0,30,1011.3,4
2025/8/16,29.4,27,33.9,79,0,28.9,1010.8,3
2025/8/17,29.5,26.5,34,79,0,21.7,1011.6,4
2025/8/18,29.2,27,34.8,77,0,12.8,1012.8,4
2025/8/19,29.9,26.3,36.8,78,2,12.1,1011.2,5
2025/8/20,29.7,26.6,36.8,77,0,12.7,1009,5
2025/8/21,28.3,24.9,35.9,73,0.5,12.6,1009.9,6
2025/8/22,30.4,24.9,37,72,0,11,1009.5,5
2025/8/23,30.6,26.5,37,77,0,9.9,1010,4
2025/8/24,30.3,27.3,37,78,0,14.1,1011.2,5
2025/8/25,30,28,32,76,0.8,20.3,1011.2,5
2025/8/26,30.1,28,33.4,75,0.7,17.8,1010.6,5
2025/8/27,29.4,28,32,78,0.7,23,1009.6,5
2025/8/28,29.7,28,33,78,0.8,24.9,1009.6,6
2025/8/29,29.9,28,33,76,0.2,25.2,1011.4,6
2025/8/30,29.8,28,33,76,1.4,16.8,1011.2,5
2025/8/31,29.3,27,33,76,0.6,8,1009,5
2025/9/1,28.9,27,33,79,5.3,7.8,1007.8,8
2025/9/2,28.8,26,33,78,1,9.2,1007.8,7
2025/9/3,29.1,27,33,82,7.4,7.5,1007.8,6
2025/9/4,29.8,27,34,74,5.1,9.3,1007.7,6
2025/9/5,30.2,27,33,76,0,15,1008.5,5
2025/9/6,30.6,29,33,75,0.3,24.2,1008.6,6
2025/9/7,30.6,27,35,76,1,13.4,1008.8,6
2025/9/8,30.8,28,35,69,1.8,18.8,1009.7,6
2025/9/9,30.6,27,35,71,1.9,17.2,1010.2,7
2025/9/10,29.9,27,33,77,10.9,11.8,1010.6,5
2025/9/11,29.4,27,33,77,10,9.7,1010.9,3
2025/9/12,29.7,27,33,77,0.2,10.6,1010.5,4
2025/9/13,30.3,27,33,75,5.2,12.8,1010,5
2025/9/14,30.4,28,34,72,4.9,9.8,1011.1,4
2025/9/15,29.8,27,33,76,0,13.5,1012.9,3
2025/9/16,29.9,28,33,79,0.5,23.1,1011.9,4
2025/9/17,30.4,28,34,76,0.1,25.5,1010.6,4
2025/9/18,29.8,28,33,80,2.2,29,1011,4
2025/9/19,29.5,28,32,80,1.5,23.4,1010.2,4
2025/9/20,29.5,27,33,78,9.8,11.4,1009.2,4
2025/9/21,28.3,26,31,79,1.8,34.4,1010.1,5
2025/9/22,28.3,27,31,76,1.7,41.1,1008.8,4
2025/9/23,28.2,27,30,86,13.6,35.5,1005.8,4
2025/9/24,28.7,27,31,85,18.9,20.9,1006.4,4
2025/9/25,29.2,27,32,81,0.1,25.3,1011.5,4
2025/9/26,29.3,27,33,81,0.6,28.4,1014.8,4
2025/9/27,29.4,28,32,80,0.8,22.8,1014.5,3
2025/9/28,29.1,27,32,77,0.4,13,1013.1,4
2025/9/29,29.2,26,33,79,4.2,8.3,1012.7,4
2025/9/30,29.4,27,33,77,0,8.2,1012,4
2025/10/1,29.2,27,33,78,1.6,13.6,1012.5,3
2025/10/2,29.3,27,33,76,0.5,16.3,1012.9,4
2025/10/3,29.2,26,33,74,0.1,13.4,1012.5,4
2025/10/4,29.7,28,33,73,0,16.1,1012.5,4
2025/10/5,29.9,26,34,76,0.7,7.7,1013.2,4
2025/10/6,29.7,28,34,80,0.3,11.5,1013,3
2025/10/7,29.4,27,33,76,0,15.9,1014.2,3
2025/10/8,29.5,28,33,74,0.5,10.8,1013.8,5
2025/10/9,28.9,27,31,69,0,6.8,1013.3,5
2025/10/10,28.3,27,31,72,0.1,4.9,1012.5,4
2025/10/11,28.8,26,33,74,0,7.4,1011.8,4
2025/10/12,28.7,25,32,78,0,9.5,1012.4,5
2025/10/13,29,26,32,76,2.2,7.5,1013.3,5
2025/10/14,29.4,27,32,75,5.4,12.9,1013.7,4
2025/10/15,27.6,26,30,79,1.5,15.1,1014.2,4
2025/10/16,28.2,26,32,74,0,17.9,1015,3
2025/10/17,29,27,32,73,0.1,25.2,1015,3
2025/10/18,28.7,27,32,75,0.2,24.8,1014.1,5
2025/10/19,27,25,28,72,0,43.6,1014.5,6
2025/10/20,23.6,21,25,65,1.1,37.4,1016.5,7
2025/10/21,19.8,18,22,74,4.9,23.2,1018.6,7
2025/10/22,20.3,19,22,65,1.3,22,1019.1,7
2025/10/23,22.5,20,24,60,0,33.3,1019.1,6
2025/10/24,22.7,20,26,61,0,27.6,1018.7,6
2025/10/25,22.7,21,24,63,0,19.9,1017.6,5
2025/10/26,23.2,22,25,67,0,27.5,1018,5
2025/10/27,22.2,21,24,62,0,31.1,1020.1,4
2025/10/28,19.9,19,22,70,0,28.4,1020.6,5
2025/10/29,22,19,25,66,0,28.7,1019.9,7
2025/10/30,22.1,21,23,72,0.5,10.8,1017.2,8
2025/10/31,22.8,21,25,75,0,12.4,1016.8,4
2025/11/1,22.5,20,25,64,0,21.4,1018.6,5
2025/11/2,21.9,19,25,61,0,21.9,1020.2,7
2025/11/3,19.4,17,22,60,0.4,29,1022.8,4
2025/11/4,16.3,14,18,88,9.2,14.5,1019.8,5
2025/11/5,20.2,17,23,77,0.9,18.3,1016.5,6
2025/11/6,22.7,21,25,73,0,24.3,1016.6,5
2025/11/7,22.9,22,25,78,0,15.7,1017.7,5
2025/11/8,23.8,22,28,76,0,12.8,1016.5,4
2025/11/9,22.2,21,25,80,0,28.1,1014.8,6
2025/11/10,21,20,22,69,0.1,42.5,1013.6,5
2025/11/11,19.8,17,21,68,0.6,40.3,1011.1,7
2025/11/12,18.1,17,19,88,10.8,19,1011.4,4
2025/11/13,20.3,18,23,76,0.2,14.1,1014.5,5
2025/11/14,19.5,16,22,62,0,23.3,1019.7,5
2025/11/15,20,18,23,66,0,20.8,1022.2,5
2025/11/16,20.8,18,25,66,0,17.2,1022.1,6
2025/11/17,20.5,18,22,70,0.3,24.8,1022.4,6
2025/11/18,16.3,15,18,64,0.2,36.3,1026.4,5
2025/11/19,14,13,15,49,0,22.2,1027.5,6
2025/11/20,14.2,11,17,52,0,21.5,1026.4,5
2025/11/21,15.8,12,19,49,0,21.7,1025.5,5
2025/11/22,17,14,20,55,0,21.1,1024.2,5
2025/11/23,18.5,16,22,66,0,12.6,1020.9,5
2025/11/24,19.8,17,24,72,0,12,1018.9,4
2025/11/25,18.5,15,21,54,0,18.2,1021.5,3
2025/11/26,16.4,15,18,57,0,25.2,1022.9,4
2025/11/27,16.8,15,21,45,0,16,1022.5,3
2025/11/28,15.2,14,17,57,0,17.5,1020.5,3
2025/11/29,15.8,11,22,65,0,9.4,1017.7,2
2025/11/30,18.4,14,25,73,0,10.4,1015.8,4
2025/12/1,19.7,17,23,74,0,14.2,1015.5,5
2025/12/2,19,16,21,71,0,20.4,1017,5
2025/12/3,16.8,16,19,64,0.8,32.7,1023.3,5
2025/12/4,14.4,12,16,58,0,27.8,1025.2,4
2025/12/5,15,13,18,65,0,20,1023.9,5
2025/12/6,16.1,13,19,68,0,13.2,1021.9,4
2025/12/7,17.8,15,21,67,0,13.6,1020.8,6
2025/12/8,18.1,15,21,68,0,23.5,1022.3,4
2025/12/9,16.6,16,17,63,0,26.2,1023,6
2025/12/10,17.3,16,19,76,0,8.2,1020.1,6
2025/12/11,17.7,15,22,81,0,11,1019.9,4
2025/12/12,16.3,15,17,68,0.7,28.8,1021.8,4
2025/12/13,15.8,14,18,73,3.1,12.7,1021.8,6
2025/12/14,13.5,11,16,57,0,21.3,1025.1,4
2025/12/15,12.8,9,16,60,0,13.3,1024,5
2025/12/16,16.2,13,21,70,0,9.4,1020.9,3
2025/12/17,16.8,14,21,72,0,18.3,1022.5,5
2025/12/18,16.1,14,18,65,0,22,1022.8,6
2025/12/19,17.4,14,20,72,2.4,6.4,1018.5,6
2025/12/20,18.1,15,24,80,0,7.2,1018,5
2025/12/21,15.4,13,18,75,0,9.2,1023.5,6
2025/12/22,14.6,13,17,68,0,9.7,1023.1,5
2025/12/23,17.1,15,21,66,0,9.5,1018.7,5
2025/12/24,15.8,14,18,84,0,18.2,1016.5,6
2025/12/25,12.5,11,14,75,7.6,29.2,1020.9,5
2025/12/26,10,8,11,55,0,27.2,1024.9,4
2025/12/27,12.5,10,16,62,0,11.9,1022.3,4
2025/12/28,14.2,12,18,67,0,12.9,1020.6,6
2025/12/29,15.7,13,19,65,0,15,1018,4
2025/12/30,15.9,14,19,64,0,21.2,1017.3,5
2025/12/31,14.2,12,16,66,0,33.1,1018.4,6
